범죄분류,00시00분-02시59분,03시00분-05시59분,06시00분-08시59분,09시00분-11시59분,12시00분-14시59분,15시00분-17시59분,18시00분-20시59분,21시00분-23시59분,미상
절도,13095,14176,13104,21763,27242,28582,27272,20587,21808
살인,49,73,49,86,97,96,110,132,155
강도,112,133,45,66,75,72,86,112,144
방화,142,151,102,120,107,168,187,227,141
성폭력,3061,3332,2233,2317,2539,3204,3920,5048,6375
폭행,19898,17036,9618,11964,12867,15132,21178,34873,19349
상해,4644,3910,2462,3220,3247,3933,4942,7967,5981
협박,1331,1050,1348,2388,2328,2743,3352,3477,3631
공갈,159,147,88,465,536,659,683,567,2270
약취와유인,10,13,17,30,43,48,32,13,54
체포와감금,109,126,87,195,207,184,165,208,310
폭력행위등(손괴·강요·주거침입등),55,72,42,122,96,95,100,108,163
폭력행위등(단체등의구성·활동),10,18,2,13,13,10,12,11,80
도박과복표,182,110,113,509,524,797,850,791,4210
과실치사상,125,106,206,434,493,557,413,309,487
업무상과실치사상,45,90,329,810,773,589,239,130,708
가정폭력범죄의처벌등에관한특례법,25,15,32,38,41,59,67,68,50
경범죄처벌법,993,888,413,509,510,648,913,1482,1282
교통사고처리특례법,5587,6688,22934,30361,33011,37752,38043,21121,4095
도로교통법,562,624,1585,2582,2386,2831,1951,1465,818
도로교통법(무면허운전),907,849,1918,4825,3947,5031,2831,2620,660
도로교통법(사고후미조치),866,1030,1434,1276,1382,1778,2081,1789,584
도로교통법(음주운전),14775,12572,7444,3646,3275,4011,10503,39740,11459
도로교통법(음주측정거부),489,384,155,86,105,153,288,719,312
마약류관리에관한법률(대마),40,60,22,229,138,147,153,154,623
마약류관리에관한법률(마약),4,2,20,300,315,326,38,16,416
마약류관리에관한법률(향정),229,187,135,632,515,502,721,564,2804
성매매알선등행위의처벌에관한법률,273,216,59,196,348,741,941,1381,1086
아동·청소년의성보호에관한법률(성매수등),22,17,5,19,24,37,42,45,108
아동·청소년의성보호에관한법률(음란물등),37,20,22,60,44,55,43,73,394
특가법(도주차량),22,36,45,35,54,51,60,70,32
